id,name,brand,category,price,old_price,currency,color,sizes,gender,url,image,in_stock,image_kind,style_fields,parsed_at
741381763,Ботинки челси женские демисезонные натуральная кожа черные,KLAVIER,обувь,3784,,RUB,черный,,женский,https://www.wildberries.ru/catalog/741381763/detail.aspx,https://basket-35.wbbasket.ru/vol7413/part741381/741381763/images/big/1.webp,true,model,natural classic,2026-07-16
455491909,Ботинки челси демисезонные натуральная кожа,Kari,обувь,1803,,RUB,черный,,женский,https://www.wildberries.ru/catalog/455491909/detail.aspx,https://basket-25.wbbasket.ru/vol4554/part455491/455491909/images/big/1.webp,true,packshot,natural classic,2026-07-16
715278189,Ботинки челси женские демисезонные,KLAVIER,обувь,4110,,RUB,черный,,женский,https://www.wildberries.ru/catalog/715278189/detail.aspx,https://basket-34.wbbasket.ru/vol7152/part715278/715278189/images/big/1.webp,true,packshot,natural classic,2026-07-16
719919157,Ботинки челси женские демисезонные натуральная кожа,O`SHADE,обувь,3784,,RUB,коричневый,,женский,https://www.wildberries.ru/catalog/719919157/detail.aspx,https://basket-34.wbbasket.ru/vol7199/part719919/719919157/images/big/1.webp,true,packshot,natural classic,2026-07-16
699839003,Ботинки демисезонные черные челси на платформе,Tonakolli,обувь,2680,,RUB,черный,,женский,https://www.wildberries.ru/catalog/699839003/detail.aspx,https://basket-33.wbbasket.ru/vol6998/part699839/699839003/images/big/1.webp,true,packshot,natural classic,2026-07-16
392273985,Полусапожки женские зимние челси на меху,Crown Magic,обувь,2802,,RUB,черный,,женский,https://www.wildberries.ru/catalog/392273985/detail.aspx,https://basket-23.wbbasket.ru/vol3922/part392273/392273985/images/big/1.webp,true,model,natural classic,2026-07-16
599034836,Челси женские демисезонные натуральная кожа,O`SHADE,обувь,3703,,RUB,черный,,женский,https://www.wildberries.ru/catalog/599034836/detail.aspx,https://basket-30.wbbasket.ru/vol5990/part599034/599034836/images/big/1.webp,true,packshot,natural classic,2026-07-16
760629469,Челси женские демисезонные натуральная кожа,O`SHADE,обувь,3427,,RUB,,,женский,https://www.wildberries.ru/catalog/760629469/detail.aspx,https://basket-35.wbbasket.ru/vol7606/part760629/760629469/images/big/1.webp,true,packshot,natural classic,2026-07-16
460184204,Челси кожаные демисезонные коричневые,Kari,обувь,1762,,RUB,коричневый,,женский,https://www.wildberries.ru/catalog/460184204/detail.aspx,https://basket-26.wbbasket.ru/vol4601/part460184/460184204/images/big/1.webp,true,model,natural classic,2026-07-16
699820873,Ботинки демисезонные черные челси на платформе,Tonakolli,обувь,2680,,RUB,черный,,женский,https://www.wildberries.ru/catalog/699820873/detail.aspx,https://basket-33.wbbasket.ru/vol6998/part699820/699820873/images/big/1.webp,true,model,natural classic,2026-07-16
499423001,Челси из натуральной кожи,SELA,обувь,2723,,RUB,черный,,женский,https://www.wildberries.ru/catalog/499423001/detail.aspx,https://basket-27.wbbasket.ru/vol4994/part499423/499423001/images/big/1.webp,true,packshot,natural classic,2026-07-16
711231204,Челси ботинки демисезонные натуральная кожа,STARRIER,обувь,3698,,RUB,черный,,женский,https://www.wildberries.ru/catalog/711231204/detail.aspx,https://basket-34.wbbasket.ru/vol7112/part711231/711231204/images/big/1.webp,true,model,natural classic,2026-07-16
753799889,Ботинки демисезонные женские натуральная кожа,O`SHADE,обувь,4069,,RUB,черный,,женский,https://www.wildberries.ru/catalog/753799889/detail.aspx,https://basket-35.wbbasket.ru/vol7537/part753799/753799889/images/big/1.webp,true,model,natural classic,2026-07-16
301860947,Ботинки демисезонные челси натуральная кожа,Kari,обувь,1695,,RUB,черный,,женский,https://www.wildberries.ru/catalog/301860947/detail.aspx,https://basket-18.wbbasket.ru/vol3018/part301860/301860947/images/big/1.webp,true,model,natural classic,2026-07-16
490315004,Сумка через плечо багет белая,,аксессуар,1614,,RUB,белый,,женский,https://www.wildberries.ru/catalog/490315004/detail.aspx,https://basket-27.wbbasket.ru/vol4903/part490315/490315004/images/big/1.webp,true,model,classic drama,2026-07-16
